"filename", "language", "TypeScript JSX", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\SigningOut\page.tsx", "TypeScript JSX", 31, 0, 0, 0, 7, 38
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\axios\dataStore.ts", "TypeScript", 0, 34, 0, 0, 5, 39
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\BestCategory.tsx", "TypeScript JSX", 60, 0, 0, 0, 8, 68
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\MainShopProduct.tsx", "TypeScript JSX", 4, 0, 0, -1, -1, 2
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\ProductCard.tsx", "TypeScript JSX", 2, 0, 0, 0, -1, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\TrendingProduct.tsx", "TypeScript JSX", 20, 0, 0, 1, 2, 23
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\UserCart.tsx", "TypeScript JSX", 173, 0, 0, 0, 18, 191
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Header.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 9
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Navbar.tsx", "TypeScript JSX", 22, 0, 0, 0, 1, 23
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\CartComponent.tsx", "TypeScript JSX", 14, 0, 0, 0, 1, 15
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\UserAuth.tsx", "TypeScript JSX", -11, 0, 0, 0, -2, -13
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\UserProfile.tsx", "TypeScript JSX", 18, 0, 0, 0, 2, 20
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\ui\AllproductCard.tsx", "TypeScript JSX", 43, 0, 0, 0, 5, 48
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\ui\NavItems.tsx", "TypeScript JSX", -10, 0, 0, 0, -3, -13
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\product\[id]\page.tsx", "TypeScript JSX", 52, 0, 0, 0, 1, 53
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\store\User.ts", "TypeScript", 0, 29, 0, 0, 6, 35
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\store\productCart.ts", "TypeScript", 0, 10, 0, 0, 3, 13
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\layout.tsx", "TypeScript JSX", 2, 0, 0, 0, 2, 4
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\page.tsx", "TypeScript JSX", 10, 0, 0, -1, 1, 10
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\package-lock.json", "JSON", 0, 0, -63, 0, 0, -63
"Total", "-", 586, 260, -63, 2, 107, 892
